Source,SourceID,Target,TargetID,Year,Type,Label,Weight
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1904","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","4"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1904","Directed","Hugo von Hofmannsthal an Hermann Bahr","42"
"Hermann Bahr","10815","Richard Beer-Hofmann","Richard Beer-Hofmann","1904","Directed","Hermann Bahr an Richard Beer-Hofmann","20"
"Hugo von Hofmannsthal","11740","Felix Salten","Felix Salten","1904","Directed","Hugo von Hofmannsthal an Felix Salten","22"
"Richard Beer-Hofmann","10863","Felix Salten","Felix Salten","1904","Directed","Richard Beer-Hofmann an Felix Salten","8"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1904","Directed","Paul Goldmann an Arthur Schnitzler","40"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1904","Directed","Felix Salten an Arthur Schnitzler","32"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1905","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","30"
"Arthur Schnitzler","2121","Hermann Bahr","Hermann Bahr","1905","Directed","Arthur Schnitzler an Hermann Bahr","24"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1905","Directed","Arthur Schnitzler an Richard Beer-Hofmann","32"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1905","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","18"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1905","Directed","Hugo von Hofmannsthal an Hermann Bahr","12"
"Hermann Bahr","10815","Richard Beer-Hofmann","Richard Beer-Hofmann","1905","Directed","Hermann Bahr an Richard Beer-Hofmann","22"
"Hugo von Hofmannsthal","11740","Felix Salten","Felix Salten","1905","Directed","Hugo von Hofmannsthal an Felix Salten","28"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1905","Directed","Paul Goldmann an Arthur Schnitzler","16"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1905","Directed","Felix Salten an Arthur Schnitzler","18"
"Felix Salten","2167","Hermann Bahr","Hermann Bahr","1905","Directed","Felix Salten an Hermann Bahr","14"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1906","Directed","Arthur Schnitzler an Richard Beer-Hofmann","20"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1906","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","30"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1906","Directed","Hugo von Hofmannsthal an Hermann Bahr","16"
"Hermann Bahr","10815","Richard Beer-Hofmann","Richard Beer-Hofmann","1906","Directed","Hermann Bahr an Richard Beer-Hofmann","2"
"Felix Salten","2167","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1906","Directed","Felix Salten an Hugo von Hofmannsthal","8"
"Richard Beer-Hofmann","10863","Felix Salten","Felix Salten","1906","Directed","Richard Beer-Hofmann an Felix Salten","4"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1906","Directed","Paul Goldmann an Arthur Schnitzler","26"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1906","Directed","Felix Salten an Arthur Schnitzler","48"
"Felix Salten","2167","Hermann Bahr","Hermann Bahr","1906","Directed","Felix Salten an Hermann Bahr","26"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1907","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","44"
"Arthur Schnitzler","2121","Hermann Bahr","Hermann Bahr","1907","Directed","Arthur Schnitzler an Hermann Bahr","22"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1907","Directed","Arthur Schnitzler an Richard Beer-Hofmann","32"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1907","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","6"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1907","Directed","Hugo von Hofmannsthal an Hermann Bahr","4"
"Hermann Bahr","10815","Richard Beer-Hofmann","Richard Beer-Hofmann","1907","Directed","Hermann Bahr an Richard Beer-Hofmann","14"
"Hugo von Hofmannsthal","11740","Felix Salten","Felix Salten","1907","Directed","Hugo von Hofmannsthal an Felix Salten","6"
"Richard Beer-Hofmann","10863","Felix Salten","Felix Salten","1907","Directed","Richard Beer-Hofmann an Felix Salten","4"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1907","Directed","Paul Goldmann an Arthur Schnitzler","16"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1907","Directed","Felix Salten an Arthur Schnitzler","30"
"Paul Goldmann","11485","Richard Beer-Hofmann","Richard Beer-Hofmann","1907","Directed","Paul Goldmann an Richard Beer-Hofmann","2"
"Paul Goldmann","11485","Hermann Bahr","Hermann Bahr","1907","Directed","Paul Goldmann an Hermann Bahr","4"
"Felix Salten","2167","Hermann Bahr","Hermann Bahr","1907","Directed","Felix Salten an Hermann Bahr","6"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1908","Directed","Arthur Schnitzler an Richard Beer-Hofmann","36"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1908","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","22"
"Hermann Bahr","10815","Richard Beer-Hofmann","Richard Beer-Hofmann","1908","Directed","Hermann Bahr an Richard Beer-Hofmann","4"
"Felix Salten","2167","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1908","Directed","Felix Salten an Hugo von Hofmannsthal","4"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1908","Directed","Paul Goldmann an Arthur Schnitzler","16"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1908","Directed","Felix Salten an Arthur Schnitzler","18"
"Paul Goldmann","11485","Richard Beer-Hofmann","Richard Beer-Hofmann","1908","Directed","Paul Goldmann an Richard Beer-Hofmann","2"
"Felix Salten","2167","Hermann Bahr","Hermann Bahr","1908","Directed","Felix Salten an Hermann Bahr","6"
"Hermann Bahr","10815","Arthur Schnitzler","Arthur Schnitzler","1909","Directed","Hermann Bahr an Arthur Schnitzler","20"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1909","Directed","Arthur Schnitzler an Richard Beer-Hofmann","34"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1909","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","16"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1909","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","4"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1909","Directed","Hugo von Hofmannsthal an Hermann Bahr","6"
"Hermann Bahr","10815","Richard Beer-Hofmann","Richard Beer-Hofmann","1909","Directed","Hermann Bahr an Richard Beer-Hofmann","4"
"Felix Salten","2167","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1909","Directed","Felix Salten an Hugo von Hofmannsthal","2"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1909","Directed","Paul Goldmann an Arthur Schnitzler","10"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1909","Directed","Felix Salten an Arthur Schnitzler","22"
"Paul Goldmann","11485","Richard Beer-Hofmann","Richard Beer-Hofmann","1909","Directed","Paul Goldmann an Richard Beer-Hofmann","4"
"Felix Salten","2167","Hermann Bahr","Hermann Bahr","1909","Directed","Felix Salten an Hermann Bahr","8"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1910","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","26"
"Arthur Schnitzler","2121","Hermann Bahr","Hermann Bahr","1910","Directed","Arthur Schnitzler an Hermann Bahr","12"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1910","Directed","Arthur Schnitzler an Richard Beer-Hofmann","42"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1910","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","2"
"Hugo von Hofmannsthal","11740","Felix Salten","Felix Salten","1910","Directed","Hugo von Hofmannsthal an Felix Salten","10"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1910","Directed","Paul Goldmann an Arthur Schnitzler","8"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1910","Directed","Felix Salten an Arthur Schnitzler","20"
